epoch,train_loss,train_accuracy,test_loss,test_accuracy,train_gate_0,train_gate_1,train_gate_2,train_gate_3,test_gate_0,test_gate_1,test_gate_2,test_gate_3
1.0,0.8145214581489563,0.8165000081062317,1.0937353806062178,0.6790909171104431,0.10619061440229416,0.04696838557720184,0.4141860902309418,0.4326549768447876,0.16528375446796417,0.042740605771541595,0.3667903244495392,0.42518535256385803
2.0,0.4175310730934143,0.8989999890327454,0.8171461811932651,0.7327272891998291,0.0665675550699234,0.015084921382367611,0.50221848487854,0.41612890362739563,0.10895394533872604,0.011587207205593586,0.4472735822200775,0.43218526244163513
3.0,0.2602124710083008,0.9409999847412109,0.7185628977688876,0.7599999904632568,0.07273837178945541,0.013876751996576786,0.5279781222343445,0.3854067027568817,0.12891629338264465,0.009545275010168552,0.459665447473526,0.40187305212020874
4.0,0.17204300463199615,0.9679999947547913,0.6595311708883805,0.7827273011207581,0.06791262328624725,0.012824781239032745,0.5489155054092407,0.3703470528125763,0.1257147192955017,0.008638354949653149,0.4862685203552246,0.3793784976005554
5.0,0.12195560145378113,0.9800000190734863,0.6394858711416072,0.8018181920051575,0.06863605976104736,0.011762483045458794,0.5388015508651733,0.38079988956451416,0.13261544704437256,0.008375847712159157,0.46604102849960327,0.39296776056289673
6.0,0.0925515729188919,0.9890000224113464,0.622013135064732,0.8018181920051575,0.06954152137041092,0.01062858197838068,0.5481550097465515,0.37167486548423767,0.13674122095108032,0.0076150791719555855,0.466580867767334,0.3890628218650818
7.0,0.07189638173580169,0.9919999837875366,0.6264199556003918,0.7918182015419006,0.06901924312114716,0.010446902364492416,0.5450612306594849,0.37547266483306885,0.1366342306137085,0.007697170600295067,0.4653891623020172,0.3902794420719147
8.0,0.0583059099316597,0.9950000047683716,0.6259359804066744,0.7918182015419006,0.06812559813261032,0.010065856389701366,0.5479844808578491,0.37382400035858154,0.1340007334947586,0.007937703281641006,0.4557802081108093,0.40228140354156494
9.0,0.04815473797917366,0.9965000152587891,0.6271060742031445,0.7918182015419006,0.06921273469924927,0.009930807165801525,0.5463823676109314,0.37447410821914673,0.13521234691143036,0.007497549057006836,0.45211195945739746,0.40517812967300415
10.0,0.04108217906951904,0.9980000257492065,0.6391295030984011,0.7927272915840149,0.07105633616447449,0.01035214215517044,0.546391487121582,0.37220001220703125,0.13977260887622833,0.007473536301404238,0.45021334290504456,0.40254050493240356
