epoch,stage,train_loss,train_accuracy,test_loss,test_accuracy,best_accuracy,elapsed_seconds
1.0,head,1.5296791229248048,0.537,1.2355865123055199,0.6281818151473999,0.6281818151473999,27.189603567123413
2.0,head,0.9825198554992676,0.7575,1.2095700246637517,0.6409090757369995,0.6409090757369995,55.36814856529236
3.0,head,0.8888121109008789,0.78,1.1304770660400392,0.6754545569419861,0.6754545569419861,88.72996735572815
4.0,head,0.8653229389190674,0.794,1.0773626843365756,0.6845454573631287,0.6845454573631287,119.35319375991821
5.0,head,0.8554203424453736,0.7985,1.088221502304077,0.6854545474052429,0.6854545474052429,153.40173435211182
6.0,finetune,0.8401263809204101,0.826,1.0194218323447488,0.753636360168457,0.753636360168457,192.08596754074097
7.0,finetune,0.621634021282196,0.906,0.8867303250052713,0.7718181610107422,0.7718181610107422,229.25560426712036
8.0,finetune,0.5100447602272034,0.941,0.9065754352916371,0.7654545307159424,0.7718181610107422,266.1186647415161
9.0,finetune,0.46067411494255067,0.9565,0.7636040206388993,0.8309090733528137,0.8309090733528137,303.27696084976196
10.0,finetune,0.43290172481536865,0.964,0.8223678010160272,0.7900000214576721,0.8309090733528137,345.3579053878784
11.0,finetune,0.4263552432060242,0.967,0.7059722878716209,0.8472727537155151,0.8472727537155151,381.29483103752136
12.0,finetune,0.3978501925468445,0.9805,0.7347248727625066,0.8445454835891724,0.8472727537155151,420.97605085372925
13.0,finetune,0.3844800090789795,0.983,0.7461613761294972,0.8236363530158997,0.8472727537155151,464.66608929634094
14.0,finetune,0.3759882307052612,0.9875,0.6986650642481718,0.8472727537155151,0.8472727537155151,506.46707248687744
15.0,finetune,0.3671501445770264,0.9855,0.6561949543519453,0.864545464515686,0.864545464515686,550.8039166927338
16.0,finetune,0.3505672857761383,0.9955,0.6640929672934792,0.8590909242630005,0.864545464515686,588.8829731941223
17.0,finetune,0.3469320583343506,0.993,0.6861184323917736,0.8600000143051147,0.864545464515686,629.6356060504913
18.0,finetune,0.34130535697937014,0.992,0.6720247626304626,0.8618181943893433,0.864545464515686,670.3875529766083
19.0,finetune,0.33891623520851133,0.9965,0.6452049424431541,0.8718181848526001,0.8718181848526001,710.9902126789093
20.0,finetune,0.33499904298782346,0.9975,0.6433678579330444,0.8736363649368286,0.8736363649368286,746.8467400074005
21.0,finetune,0.3345534062385559,0.9965,0.6310949273542924,0.8781818151473999,0.8781818151473999,785.6967189311981
22.0,finetune,0.3317343616485596,0.997,0.642599999037656,0.8736363649368286,0.8781818151473999,821.942355632782
23.0,finetune,0.3257729878425598,0.9985,0.6426074929670854,0.8709090948104858,0.8781818151473999,860.2102696895599
24.0,finetune,0.3272168941497803,0.9965,0.6325662112236023,0.8799999952316284,0.8799999952316284,895.7239847183228
25.0,finetune,0.33098233556747436,0.997,0.6331073320995677,0.8763636350631714,0.8799999952316284,935.2426264286041
