epoch,stage,train_loss,train_accuracy,test_loss,test_accuracy,best_accuracy,elapsed_seconds
1.0,head,1.5211175851821899,0.5315,1.3525055911324242,0.5963636636734009,0.5963636636734009,30.252562046051025
2.0,head,1.0008198680877685,0.7395,1.2997916455702347,0.6090909242630005,0.6090909242630005,59.839723110198975
3.0,head,0.8952648696899415,0.78,1.1072402702678334,0.6909090876579285,0.6909090876579285,88.07147121429443
4.0,head,0.8553619256019592,0.7995,1.130954077460549,0.6845454573631287,0.6909090876579285,116.97474026679993
5.0,head,0.820525616645813,0.814,1.1594011090018532,0.668181836605072,0.6909090876579285,148.73416757583618
6.0,finetune,0.8475119094848633,0.828,1.127985186143355,0.7045454382896423,0.7045454382896423,191.66885900497437
7.0,finetune,0.6215702238082885,0.9055,0.9928397239338268,0.746363639831543,0.746363639831543,227.38478827476501
8.0,finetune,0.5363142447471618,0.9345,0.8475547716834329,0.7927272915840149,0.7927272915840149,266.1800184249878
9.0,finetune,0.47204648685455325,0.9535,0.7997123989191922,0.7963636517524719,0.7963636517524719,304.1397292613983
10.0,finetune,0.4253902225494385,0.971,0.7931947931376371,0.8045454621315002,0.8045454621315002,341.22390389442444
11.0,finetune,0.42751048612594605,0.9645,0.7356311390616677,0.8345454335212708,0.8345454335212708,382.3345191478729
12.0,finetune,0.3965262072086334,0.98,0.71056565804915,0.8409090638160706,0.8409090638160706,420.67464661598206
13.0,finetune,0.38068780255317686,0.9865,0.6623677682876586,0.8636363744735718,0.8636363744735718,460.0719544887543
14.0,finetune,0.3769830846786499,0.986,0.6782016199285333,0.8527272939682007,0.8636363744735718,500.24509739875793
15.0,finetune,0.3634012689590454,0.992,0.6737408716028387,0.8627272844314575,0.8636363744735718,538.1009557247162
16.0,finetune,0.3525570209026337,0.9945,0.6856593285907399,0.8490909337997437,0.8636363744735718,577.9789950847626
17.0,finetune,0.3539462492465973,0.992,0.6373469672419808,0.8799999952316284,0.8799999952316284,617.6629564762115
18.0,finetune,0.34517473506927493,0.9945,0.6356304465640675,0.8663636445999146,0.8799999952316284,656.1900703907013
19.0,finetune,0.34259045553207396,0.994,0.6293946149132469,0.8745454549789429,0.8799999952316284,691.8841302394867
20.0,finetune,0.3339405746459961,0.9975,0.6476388049125671,0.8718181848526001,0.8799999952316284,734.2809810638428
21.0,finetune,0.3314041056632996,0.996,0.6533382758227262,0.860909104347229,0.8799999952316284,772.1281957626343
22.0,finetune,0.3305203080177307,0.9975,0.6403631862727078,0.8681818246841431,0.8799999952316284,812.5499196052551
23.0,finetune,0.32507669711112974,0.999,0.633542033108798,0.8754545450210571,0.8799999952316284,847.211535692215
24.0,finetune,0.3297070686817169,0.9985,0.6486561046947132,0.860909104347229,0.8799999952316284,887.7678549289703
25.0,finetune,0.3289057288169861,0.9975,0.6412986131147905,0.864545464515686,0.8799999952316284,922.7053482532501
