epoch,train_loss,train_accuracy,test_loss,test_accuracy,best_test_accuracy,image_scale,diffusion_scale,elapsed_seconds
1.0,0.027578108578920364,1.0,0.3587115599892356,0.9163636565208435,0.9163636565208435,0.021188687533140182,0.021182429045438766,3.2583165168762207
2.0,0.02740409153699875,1.0,0.35844390652396463,0.9163636565208435,0.9163636565208435,0.022729162126779556,0.02270982228219509,4.233343124389648
3.0,0.026936616241931916,1.0,0.3577483315901323,0.9163636565208435,0.9163636565208435,0.024517692625522614,0.024483896791934967,4.663708686828613
4.0,0.026077285945415498,1.0,0.35641579430211673,0.914545476436615,0.9163636565208435,0.026529084891080856,0.02647358551621437,5.541333913803101
5.0,0.024894247740507126,1.0,0.35448193154551766,0.9136363863945007,0.9163636565208435,0.02871602773666382,0.02855389006435871,5.688817501068115
6.0,0.023756039291620255,1.0,0.352158200442791,0.914545476436615,0.9163636565208435,0.030924232676625252,0.030178658664226532,5.889206171035767
7.0,0.02293585343658924,1.0,0.34957410706715153,0.9136363863945007,0.9163636565208435,0.03303397446870804,0.030736707150936127,6.7611243724823
8.0,0.022356525018811226,1.0,0.3468256677822633,0.914545476436615,0.9163636565208435,0.035050168633461,0.030640332028269768,7.206964492797852
9.0,0.02184795078635216,1.0,0.34412518468770115,0.9154545664787292,0.9163636565208435,0.03704198822379112,0.03071211278438568,7.625823736190796
10.0,0.021415871426463128,1.0,0.34162520080804826,0.9154545664787292,0.9163636565208435,0.03893423080444336,0.030916908755898476,8.211378574371338
11.0,0.020957464963197708,1.0,0.3394333310018886,0.9154545664787292,0.9163636565208435,0.04090813919901848,0.03145567700266838,8.468061208724976
12.0,0.02061965438723564,1.0,0.33794187960299577,0.914545476436615,0.9163636565208435,0.04277927428483963,0.032049987465143204,9.111377239227295
13.0,0.020286043390631676,1.0,0.33651644414121457,0.914545476436615,0.9163636565208435,0.04467096924781799,0.032770391553640366,10.190012693405151
14.0,0.02006075292825699,1.0,0.33545782232826404,0.9163636565208435,0.9163636565208435,0.04646027460694313,0.03352334722876549,12.288252830505371
15.0,0.019860927641391753,1.0,0.33499116065827284,0.9163636565208435,0.9163636565208435,0.04823523014783859,0.034371327608823776,14.143052339553833
16.0,0.019637769773602487,1.0,0.3345498580824245,0.9163636565208435,0.9163636565208435,0.05014478787779808,0.03540472313761711,14.62298059463501
17.0,0.01945013026893139,1.0,0.3341753991896456,0.918181836605072,0.918181836605072,0.05205279216170311,0.036451227962970734,15.866416454315186
18.0,0.019345404237508773,1.0,0.33395368120887065,0.918181836605072,0.918181836605072,0.05394882336258888,0.03764253482222557,16.261839151382446
19.0,0.019202732250094414,1.0,0.33365487098693847,0.9190909266471863,0.9190909266471863,0.055845707654953,0.0387185737490654,17.2702157497406
20.0,0.01911732517182827,1.0,0.3339382016387853,0.9190909266471863,0.9190909266471863,0.05776572972536087,0.03986062854528427,17.788042306900024
21.0,0.01897935174405575,1.0,0.3341705504601652,0.918181836605072,0.9190909266471863,0.05970889329910278,0.0410650297999382,18.44164752960205
22.0,0.018886004135012627,1.0,0.3342222985083407,0.9200000166893005,0.9200000166893005,0.06166703626513481,0.04226243495941162,18.7043936252594
23.0,0.01880294069647789,1.0,0.334222589162263,0.9200000166893005,0.9200000166893005,0.0635254755616188,0.04348341375589371,20.14783477783203
24.0,0.018739343360066413,1.0,0.33456625591624867,0.9200000166893005,0.9200000166893005,0.06535946577787399,0.04464755579829216,20.440521001815796
25.0,0.018712047949433326,1.0,0.3354096925800497,0.9209091067314148,0.9209091067314148,0.06714604049921036,0.04580826312303543,20.617304801940918
26.0,0.018608793511986733,1.0,0.33593352003531024,0.9209091067314148,0.9209091067314148,0.06887835264205933,0.047033585608005524,20.91050672531128
