epoch,train_loss,train_accuracy,test_loss,test_accuracy,best_test_accuracy,image_scale,diffusion_scale,elapsed_seconds
1.0,0.027054151475429535,1.0,0.35732357940890574,0.914545476436615,0.914545476436615,0.05060064047574997,0.05059328302741051,0.365741491317749
2.0,0.02643499989807606,1.0,0.3557860909808766,0.914545476436615,0.914545476436615,0.05141201615333557,0.05137818306684494,0.4265563488006592
3.0,0.025709389716386796,1.0,0.35463994890451433,0.9136363863945007,0.914545476436615,0.05232490226626396,0.052276670932769775,0.4868175983428955
4.0,0.02488715700805187,1.0,0.35337340869686823,0.9136363863945007,0.914545476436615,0.05332699045538902,0.05327858403325081,0.5468449592590332
5.0,0.024026417717337607,1.0,0.3522714727846059,0.9118182063102722,0.914545476436615,0.054398927837610245,0.05434512346982956,0.6068470478057861
6.0,0.023191952750086783,1.0,0.351123081526973,0.9127272963523865,0.914545476436615,0.05553180351853371,0.05543915554881096,0.6673476696014404
7.0,0.022520941734313966,1.0,0.34992892877622084,0.9127272963523865,0.914545476436615,0.05666046589612961,0.056447505950927734,0.7273726463317871
8.0,0.021976485937833787,1.0,0.348900344778191,0.9118182063102722,0.914545476436615,0.0578388087451458,0.057395074516534805,0.7878985404968262
9.0,0.021578854352235794,1.0,0.3480308410525322,0.910909116268158,0.914545476436615,0.05903616547584534,0.05817883089184761,0.8489038944244385
10.0,0.021275926038622855,1.0,0.34696129232645034,0.9118182063102722,0.914545476436615,0.06025412306189537,0.05888180807232857,0.9092752933502197
11.0,0.021096049815416337,1.0,0.34598512275652454,0.9127272963523865,0.914545476436615,0.06142248213291168,0.05941258370876312,0.9696295261383057
12.0,0.020941716626286508,1.0,0.3453651471842419,0.910909116268158,0.914545476436615,0.06261324137449265,0.05993383005261421,1.03061842918396
13.0,0.020838057920336724,1.0,0.34466737126762215,0.910909116268158,0.914545476436615,0.06386931240558624,0.06042369082570076,1.0913493633270264
14.0,0.020753959342837334,1.0,0.3435787981748581,0.910909116268158,0.914545476436615,0.06513919681310654,0.060868728905916214,1.1520850658416748
15.0,0.02065550708770752,1.0,0.34292093740268187,0.910909116268158,0.914545476436615,0.06642547249794006,0.06140590086579323,1.2131710052490234
16.0,0.02057579979300499,1.0,0.34256637039509685,0.910909116268158,0.914545476436615,0.06770535558462143,0.061871230602264404,1.2742159366607666
17.0,0.020474100768566133,1.0,0.3418765551393682,0.9118182063102722,0.914545476436615,0.06900222599506378,0.06245313957333565,1.3351945877075195
18.0,0.020383123710751534,1.0,0.3410304063016718,0.9118182063102722,0.914545476436615,0.07031562924385071,0.0630066767334938,1.3960108757019043
19.0,0.020308879807591437,1.0,0.3407343657992103,0.9127272963523865,0.914545476436615,0.07164420932531357,0.06352593004703522,1.4565770626068115
20.0,0.020245444267988206,1.0,0.34021776527166364,0.9136363863945007,0.914545476436615,0.07297884672880173,0.06402011215686798,1.5169389247894287
