epoch,train_loss,train_accuracy,test_loss,test_accuracy
1.0,1.9265551567077637,0.37599998712539673,1.9178179502487183,0.35100001096725464
2.0,1.5004600286483765,0.6065000295639038,1.5607937574386597,0.5544999837875366
3.0,1.1619791984558105,0.7605000138282776,1.2839211225509644,0.6549999713897705
4.0,0.9050382375717163,0.8385000228881836,1.0770081281661987,0.7129999995231628
5.0,0.7150126695632935,0.875,0.9242804646492004,0.7480000257492065
6.0,0.5755470395088196,0.8985000252723694,0.810825526714325,0.7745000123977661
7.0,0.4724845588207245,0.9164999723434448,0.7250047922134399,0.7960000038146973
8.0,0.3950279653072357,0.9300000071525574,0.6584964394569397,0.8059999942779541
9.0,0.33553874492645264,0.940500020980835,0.6056268811225891,0.8134999871253967
10.0,0.2888261675834656,0.9505000114440918,0.5626299381256104,0.8259999752044678
11.0,0.2514036297798157,0.9564999938011169,0.5270230174064636,0.8309999704360962
12.0,0.22090691328048706,0.9610000252723694,0.49715036153793335,0.8395000100135803
13.0,0.19569583237171173,0.9670000076293945,0.4718775451183319,0.8485000133514404
14.0,0.17459937930107117,0.9710000157356262,0.45039570331573486,0.8565000295639038
15.0,0.1567574441432953,0.9735000133514404,0.43210119009017944,0.8615000247955322
16.0,0.1415233016014099,0.9754999876022339,0.41652145981788635,0.8654999732971191
17.0,0.12840262055397034,0.9769999980926514,0.40327155590057373,0.8700000047683716
18.0,0.11701361835002899,0.9794999957084656,0.3920280337333679,0.8725000023841858
19.0,0.107059046626091,0.9829999804496765,0.3825136125087738,0.8740000128746033
20.0,0.09830433875322342,0.984000027179718,0.37448787689208984,0.8769999742507935
21.0,0.09056080132722855,0.9850000143051147,0.3677414059638977,0.8790000081062317
22.0,0.08367394655942917,0.9865000247955322,0.36209195852279663,0.8805000185966492
23.0,0.07751697301864624,0.9894999861717224,0.3573807179927826,0.8830000162124634
24.0,0.07198676466941833,0.9894999861717224,0.3534694314002991,0.8855000138282776
25.0,0.06700008362531662,0.9909999966621399,0.35023751854896545,0.8870000243186951
26.0,0.06248990073800087,0.9915000200271606,0.3475792407989502,0.887499988079071
27.0,0.05840183049440384,0.9934999942779541,0.3454008996486664,0.887499988079071
28.0,0.05469118431210518,0.9934999942779541,0.3436184525489807,0.8880000114440918
29.0,0.05132073163986206,0.9955000281333923,0.34215590357780457,0.8880000114440918
30.0,0.04825884848833084,0.9965000152587891,0.3409433662891388,0.8889999985694885
31.0,0.045478012412786484,0.9980000257492065,0.3399161696434021,0.890500009059906
32.0,0.04295346140861511,0.9980000257492065,0.33901461958885193,0.8914999961853027
33.0,0.04066216200590134,0.9984999895095825,0.33818450570106506,0.8920000195503235
34.0,0.03858219459652901,0.9984999895095825,0.33737799525260925,0.8930000066757202
35.0,0.0366925448179245,0.9984999895095825,0.3365549147129059,0.8939999938011169
36.0,0.03497331961989403,0.9990000128746033,0.3356834650039673,0.8945000171661377
37.0,0.03340599685907364,0.9990000128746033,0.33474045991897583,0.8945000171661377
38.0,0.03197372332215309,0.9990000128746033,0.3337109088897705,0.8949999809265137
39.0,0.03066132962703705,0.9990000128746033,0.3325870931148529,0.8949999809265137
40.0,0.029455389827489853,0.9994999766349792,0.3313673734664917,0.8949999809265137
41.0,0.028344109654426575,0.9994999766349792,0.330055296421051,0.8955000042915344
42.0,0.027317175641655922,0.9994999766349792,0.32865819334983826,0.8960000276565552
43.0,0.02636561170220375,1.0,0.32718634605407715,0.8964999914169312
44.0,0.02548162452876568,1.0,0.3256519138813019,0.8964999914169312
45.0,0.02465846575796604,1.0,0.32406845688819885,0.8964999914169312
46.0,0.02389025129377842,1.0,0.3224498927593231,0.8964999914169312
47.0,0.023171870037913322,1.0,0.3208102583885193,0.8970000147819519
48.0,0.022498834878206253,1.0,0.31916332244873047,0.8970000147819519
49.0,0.02186720445752144,1.0,0.3175220191478729,0.8970000147819519
50.0,0.021273482590913773,1.0,0.3158983290195465,0.8985000252723694
51.0,0.020714571699500084,1.0,0.31430330872535706,0.8989999890327454
52.0,0.020187661051750183,1.0,0.312746524810791,0.8995000123977661
53.0,0.019690239802002907,1.0,0.31123653054237366,0.8995000123977661
54.0,0.01922001875936985,1.0,0.309780478477478,0.8999999761581421
55.0,0.018774917349219322,1.0,0.3083842396736145,0.8999999761581421
56.0,0.018353035673499107,1.0,0.30705270171165466,0.9010000228881836
