epoch,train_mse,elapsed_seconds
1.0,0.22107512640953064,17.785436153411865
2.0,0.10215205383300781,35.37876749038696
3.0,0.08687538188695908,52.96332383155823
4.0,0.08294461506605148,70.36292791366577
5.0,0.0853899757862091,88.17369985580444
6.0,0.07925548619031907,105.92504930496216
7.0,0.07971874254941941,123.57996726036072
8.0,0.08408091413974762,141.62036323547363
9.0,0.08151894128322601,159.49853467941284
10.0,0.08389665341377259,177.41779947280884
11.0,0.07972680324316025,195.34911251068115
12.0,0.07838973981142044,213.22568130493164
13.0,0.08145903730392456,231.10705304145813
14.0,0.07136277604103089,249.05361032485962
15.0,0.07633646813035011,266.90595602989197
16.0,0.07695071476697922,284.74575781822205
17.0,0.08286706399917602,302.6186857223511
18.0,0.07304193338751792,320.54751324653625
19.0,0.07960778188705445,338.39463996887207
20.0,0.0744955361187458,356.309935092926
21.0,0.07808747708797455,374.3097870349884
22.0,0.07403695160150528,392.2610056400299
23.0,0.07714483058452606,410.05265378952026
24.0,0.07398539006710053,427.99447321891785
25.0,0.07181113657355309,445.8402292728424
26.0,0.07778338724374771,463.8577153682709
27.0,0.07344554126262665,481.85664081573486
28.0,0.07732748401165009,499.68330335617065
29.0,0.07210379153490067,517.9108729362488
30.0,0.07477794629335403,535.7755038738251
31.0,0.07487526547908784,553.6863224506378
32.0,0.07117658144235611,571.5005049705505
33.0,0.07228494495153427,589.4366436004639
34.0,0.07507665434479713,607.4088635444641
35.0,0.06707536768913269,625.4732925891876
36.0,0.07416754043102264,643.3664352893829
37.0,0.07337014132738114,661.2754683494568
38.0,0.07188817149400711,679.1675775051117
39.0,0.07360649532079697,697.177877664566
40.0,0.07597376930713653,715.0629532337189
41.0,0.07568524479866028,733.1298747062683
42.0,0.07509298086166381,751.069265127182
43.0,0.07717516708374024,769.0917663574219
44.0,0.07221054697036743,786.99458527565
45.0,0.07414438730478287,804.9453854560852
46.0,0.07484875997900962,822.9900307655334
47.0,0.06984198987483978,840.9806220531464
48.0,0.07183433616161347,858.9689495563507
49.0,0.0757825710773468,876.8801670074463
50.0,0.07196466898918152,894.8117508888245
