epoch,train_loss,train_accuracy,test_loss,test_accuracy,train_gate_0,train_gate_1,train_gate_2,test_gate_0,test_gate_1,test_gate_2
1.0,0.5911474885940552,0.9139999747276306,0.7606143515110015,0.8080000281333923,0.1999993622303009,0.08714064210653305,0.7128599882125854,0.16746459901332855,0.08899739384651184,0.7435380220413208
2.0,0.22187385630607606,0.9599999785423279,0.4465819079875946,0.8550000190734863,0.14154596626758575,0.031556859612464905,0.8268972039222717,0.11961816251277924,0.029869817197322845,0.8505120873451233
3.0,0.11503087350726128,0.9764999747276306,0.33819983500242234,0.8809999823570251,0.12503349781036377,0.023219410330057144,0.8517470955848694,0.11187133938074112,0.013499032706022263,0.8746296167373657
4.0,0.06883296278119087,0.9894999861717224,0.2869638710021973,0.9024999737739563,0.11724450439214706,0.026488924399018288,0.8562666177749634,0.11413407325744629,0.012343131005764008,0.8735228180885315
5.0,0.047782893985509875,0.9940000176429749,0.2656310102939606,0.906499981880188,0.11452661454677582,0.02594091184437275,0.8595324754714966,0.11616066843271255,0.010951252654194832,0.8728880882263184
6.0,0.035322322979569436,0.9975000023841858,0.2535593259334564,0.9104999899864197,0.1121135950088501,0.02496909350156784,0.8629173636436462,0.11476794630289078,0.010590254329144955,0.8746418356895447
7.0,0.027323871433734895,0.9990000128746033,0.24103075939416885,0.9169999957084656,0.10420317947864532,0.024780739098787308,0.8710160851478577,0.10597720742225647,0.011147817596793175,0.8828750252723694
8.0,0.02217692967504263,0.9990000128746033,0.2401193047761917,0.9175000190734863,0.10778594017028809,0.025854336097836494,0.8663596510887146,0.10894932597875595,0.011612209491431713,0.8794384598731995
9.0,0.018694669336080553,0.9994999766349792,0.24090366864204407,0.9164999723434448,0.11177174746990204,0.026663973927497864,0.8615643382072449,0.11200477927923203,0.012024551630020142,0.8759706616401672
10.0,0.016019249819219112,1.0,0.23711579257249832,0.9190000295639038,0.11220322549343109,0.027062881737947464,0.8607338666915894,0.11154763400554657,0.012257457710802555,0.876194953918457
11.0,0.013912929475307464,1.0,0.23372798603773118,0.9194999933242798,0.11154492199420929,0.02709256485104561,0.8613625764846802,0.11190443485975266,0.011931357905268669,0.8761641383171082
12.0,0.0127644625864923,0.9994999766349792,0.23715454214811324,0.9185000061988831,0.11527414619922638,0.02824823558330536,0.8564776182174683,0.1166360154747963,0.012495094910264015,0.8708689212799072
13.0,0.011401581771671773,1.0,0.22528741019964219,0.9254999756813049,0.11005458235740662,0.029188625514507294,0.8607568144798279,0.10800182819366455,0.013668677769601345,0.8783295154571533
14.0,0.01036399620398879,1.0,0.22291457414627075,0.925000011920929,0.11111214011907578,0.029549725353717804,0.8593381643295288,0.10722804069519043,0.014019680209457874,0.8787522912025452
15.0,0.009440228268504143,1.0,0.2271898888349533,0.921500027179718,0.11697447299957275,0.02973221242427826,0.8532933592796326,0.11290498822927475,0.01384296640753746,0.8732520341873169
16.0,0.00880301459878683,1.0,0.23095911037921907,0.9175000190734863,0.12098893523216248,0.030179275199770927,0.8488317728042603,0.11729998886585236,0.01397878210991621,0.8687211871147156
17.0,0.00794911116361618,1.0,0.22558869808912277,0.9190000295639038,0.11795753240585327,0.031045496463775635,0.8509969711303711,0.11496245861053467,0.014530818909406662,0.8705067038536072
